antecedents,consequents,support,confidence,lift
"Multiplayer, FPS","First-Person, Shooter",0.1,0.8285714285714286,6.865306122448979
"First-Person, Shooter","Multiplayer, FPS",0.1,0.8285714285714286,6.865306122448979
"First-Person, Shooter","Action, FPS",0.11379310344827587,0.9428571428571428,6.668989547038327
"Action, FPS","First-Person, Shooter",0.11379310344827587,0.8048780487804879,6.668989547038327
"First-Person, Shooter",FPS,0.11724137931034483,0.9714285714285714,6.402597402597403
FPS,"First-Person, Shooter",0.11724137931034483,0.7727272727272727,6.402597402597402
FPS,"Action, First-Person, Shooter",0.11379310344827587,0.75,6.397058823529412
"Action, First-Person, Shooter",FPS,0.11379310344827587,0.9705882352941178,6.397058823529412
"First-Person, Shooter, Multiplayer",FPS,0.1,0.9666666666666668,6.371212121212122
"Multiplayer, First-Person, FPS",Shooter,0.1,0.8787878787878788,5.540184453227931
"Multiplayer, FPS",Shooter,0.10344827586206896,0.8571428571428571,5.403726708074533
"First-Person, FPS","Action, Shooter",0.11379310344827587,0.8048780487804879,5.3048780487804885
"Action, Shooter","First-Person, FPS",0.11379310344827587,0.75,5.304878048780488
"Multiplayer, Shooter","First-Person, FPS",0.1,0.7435897435897437,5.259537210756724
"First-Person, FPS","Multiplayer, Shooter",0.1,0.7073170731707317,5.259537210756723
"First-Person, FPS",Shooter,0.11724137931034483,0.8292682926829268,5.2279957582184515
Shooter,"First-Person, FPS",0.11724137931034483,0.7391304347826086,5.2279957582184515
"Action, First-Person, FPS",Shooter,0.11379310344827587,0.8250000000000001,5.201086956521739
Shooter,"Action, First-Person, FPS",0.11379310344827587,0.717391304347826,5.201086956521739
Shooter,"Action, FPS",0.11379310344827587,0.717391304347826,5.074231177094379
"Action, FPS",Shooter,0.11379310344827587,0.8048780487804879,5.074231177094379
"Multiplayer, Shooter",FPS,0.10344827586206896,0.7692307692307693,5.06993006993007
Shooter,FPS,0.1206896551724138,0.7608695652173912,5.014822134387352
FPS,Shooter,0.1206896551724138,0.7954545454545455,5.014822134387352
"Action, Shooter",FPS,0.11379310344827587,0.75,4.943181818181818
FPS,"Action, Shooter",0.11379310344827587,0.75,4.943181818181818
"Singleplayer, FPS","Action, First-Person",0.1,0.9666666666666668,4.122549019607844
"Shooter, FPS","Action, First-Person",0.11379310344827587,0.9428571428571428,4.0210084033613445
FPS,"Action, First-Person, Multiplayer",0.1103448275862069,0.7272727272727273,3.979416809605489
"Multiplayer, FPS","Action, First-Person",0.1103448275862069,0.9142857142857143,3.899159663865546
FPS,"Action, First-Person",0.13793103448275862,0.9090909090909091,3.877005347593583
"Racing, Singleplayer","Multiplayer, Sports",0.10689655172413794,0.8611111111111112,3.7836700336700337
Building,"Simulation, Sandbox",0.10344827586206896,0.7692307692307693,3.717948717948718
"Racing, Simulation","Multiplayer, Sports",0.11379310344827587,0.8461538461538463,3.717948717948718
"Racing, Multiplayer","Simulation, Sports",0.11379310344827587,0.8048780487804879,3.5909943714821764
Racing,"Multiplayer, Sports",0.1310344827586207,0.8085106382978725,3.5525467440361065
"Racing, Simulation, Multiplayer",Sports,0.11379310344827587,0.9428571428571428,3.5510204081632657
"Racing, Multiplayer","Singleplayer, Sports",0.10689655172413794,0.7560975609756098,3.5365853658536586
Racing,"Simulation, Multiplayer, Sports",0.11379310344827587,0.7021276595744682,3.5106382978723407
"Racing, Multiplayer",Sports,0.1310344827586207,0.926829268292683,3.4906556857776376
"Racing, Simulation",Sports,0.12413793103448276,0.9230769230769231,3.476523476523477
Racing,Sports,0.1482758620689655,0.9148936170212766,3.4457032329372757
"Racing, Singleplayer, Multiplayer",Sports,0.10689655172413794,0.911764705882353,3.433919022154317
Racing,"Simulation, Sports",0.12413793103448276,0.7659574468085106,3.4173486088379703
"Racing, Singleplayer",Sports,0.1103448275862069,0.8888888888888888,3.347763347763348
"Shooter, FPS","First-Person, Multiplayer",0.1,0.8285714285714286,3.2915851272015657
"Building, Singleplayer",Sandbox,0.10344827586206896,0.8823529411764706,3.1985294117647056
Building,"Singleplayer, Sandbox",0.10344827586206896,0.7692307692307693,3.186813186813187
"Multiplayer, Shooter","Action, First-Person",0.1,0.7435897435897437,3.1711915535444954
Building,Sandbox,0.11724137931034483,0.8717948717948718,3.16025641025641
"Action, Shooter, FPS",First-Person,0.11379310344827587,1.0,3.152173913043478
"Action, Singleplayer, FPS",First-Person,0.1,1.0,3.152173913043478
Shooter,"Action, First-Person",0.11724137931034483,0.7391304347826086,3.152173913043478
"Simulation, Building",Sandbox,0.10344827586206896,0.8571428571428571,3.107142857142857
