n_pca,k,silhouette,variance
2,3,0.3713,0.2601
2,4,0.3515,0.2601
2,5,0.3554,0.2601
2,6,0.3435,0.2601
2,7,0.3505,0.2601
3,3,0.2797,0.353
3,4,0.2892,0.353
3,5,0.2664,0.353
3,6,0.2672,0.353
3,7,0.2738,0.353
5,3,0.2069,0.4898
5,4,0.2362,0.4898
5,5,0.2399,0.4898
5,6,0.2434,0.4898
5,7,0.2311,0.4898
8,3,0.1621,0.6146
8,4,0.1867,0.6146
8,5,0.1858,0.6146
8,6,0.1867,0.6146
8,7,0.1861,0.6146
10,3,0.1473,0.6823
10,4,0.1649,0.6823
10,5,0.1635,0.6823
10,6,0.1596,0.6823
10,7,0.1563,0.6823
12,3,0.132,0.7434
12,4,0.1524,0.7434
12,5,0.1505,0.7434
12,6,0.1444,0.7434
12,7,0.1461,0.7434
