fpr,tpr
0.0,0.0
0.00043,0.00807
0.00108,0.0169
0.00151,0.02577
0.00323,0.03375
0.00323,0.04482
0.00409,0.05228
0.00452,0.06128
0.00581,0.07033
0.0071,0.07725
0.00882,0.08458
0.00989,0.09247
0.01097,0.10077
0.01204,0.10787
0.01333,0.11387
0.01419,0.12269
0.01527,0.13112
0.01656,0.13756
0.01742,0.14387
0.01871,0.15195
0.02,0.16073
0.0215,0.16659
0.02301,0.17493
0.0243,0.18243
0.02516,0.19068
0.02709,0.19673
0.02752,0.20405
0.02838,0.21146
0.02903,0.21905
0.03053,0.22712
0.03182,0.23251
0.03311,0.24032
0.03548,0.24764
0.03612,0.25474
0.0372,0.26105
0.03806,0.26732
0.03892,0.27363
0.03999,0.27949
0.04128,0.28673
0.043,0.29242
0.04386,0.29935
0.04558,0.30535
0.04687,0.3113
0.04902,0.31783
0.05031,0.32516
0.05268,0.33067
0.05461,0.33605
0.05655,0.34241
0.05827,0.34925
0.06042,0.3545
0.06235,0.35948
0.06558,0.36592
0.06751,0.37267
0.06966,0.37907
0.07224,0.38551
0.07418,0.39266
0.0759,0.39888
0.07826,0.40731
0.0802,0.41357
0.08407,0.41931
0.08794,0.42592
0.09138,0.43184
0.09353,0.43872
0.09589,0.44454
0.09783,0.45006
0.10062,0.45566
0.1032,0.461
0.10557,0.4677
0.10772,0.47388
0.11073,0.47873
0.11266,0.48496
0.11503,0.49237
0.11718,0.49837
0.12105,0.50406
0.1232,0.51107
0.12664,0.51646
0.12943,0.52285
0.1333,0.52744
0.13545,0.53455
0.13803,0.54174
0.14212,0.54946
0.14492,0.55577
0.14836,0.56141
0.15158,0.56746
0.15545,0.57218
0.15889,0.57747
0.16319,0.584
0.16663,0.58912
0.16964,0.59472
0.17287,0.60011
0.17609,0.60619
0.17953,0.61171
0.1834,0.61775
0.18577,0.62402
0.18878,0.62927
0.19329,0.63461
0.19716,0.6392
0.20125,0.6444
0.20469,0.64952
0.2077,0.65411
0.21135,0.65786
0.21565,0.66218
0.21974,0.66717
0.22468,0.67339
0.22769,0.67895
0.23135,0.68561
0.23565,0.69095
0.23973,0.69549
0.24382,0.70026
0.2479,0.70926
0.2522,0.71455
0.25672,0.72073
0.26123,0.72558
0.26639,0.72946
0.27134,0.73392
0.27628,0.73899
0.28123,0.74393
0.28618,0.75015
0.29306,0.75377
0.29886,0.75849
0.30338,0.76335
0.30918,0.76899
0.31456,0.77468
0.32015,0.77998
0.32488,0.78474
0.32961,0.7907
0.33541,0.79529
0.34186,0.80102
0.34831,0.8038
0.3539,0.80883
0.36014,0.81294
0.36659,0.81677
0.37218,0.82136
0.37841,0.82476
0.38508,0.8286
0.39153,0.83486
0.39733,0.83857
0.40335,0.84201
0.40959,0.84722
0.41475,0.85128
0.42077,0.85485
0.42786,0.85829
0.43647,0.86275
0.44356,0.86654
0.45087,0.8702
0.45775,0.87364
0.46528,0.877
0.4728,0.8807
0.48119,0.88361
0.48807,0.88714
0.49559,0.89169
0.50161,0.89416
0.50871,0.89672
0.51623,0.89981
0.52204,0.90263
0.52806,0.90594
0.53408,0.90876
0.54117,0.9111
0.54805,0.9141
0.5573,0.91644
0.56396,0.91882
0.57214,0.92129
0.57923,0.92412
0.58697,0.92645
0.59536,0.92906
0.60439,0.9321
0.61256,0.93479
0.62073,0.93744
0.63083,0.93947
0.63793,0.94181
0.6461,0.94437
0.65448,0.94653
0.66351,0.94865
0.67039,0.95085
0.67921,0.95284
0.6891,0.95593
0.69641,0.95787
0.70737,0.96029
0.7177,0.96259
0.72716,0.96475
0.73748,0.96691
0.74801,0.96898
0.75683,0.97159
0.7665,0.97371
0.77682,0.97591
0.78628,0.97794
0.79875,0.97957
0.80907,0.98173
0.81724,0.98385
0.82799,0.98522
0.84218,0.98698
0.85186,0.98862
0.86369,0.9906
0.87487,0.99228
0.88949,0.99365
0.90561,0.99515
0.92324,0.99647
0.94302,0.99801
0.96839,0.99907
1.0,1.0
